Designator,Mid X,Mid Y,Rotation,Layer
D72,17.0,-5.8,270.0,bottom
D73,19.0,-5.8,270.0,bottom
D74,16.0,-2.3,270.0,bottom
D75,20.0,-2.3,270.0,bottom
D76,18.0,-2.3,270.0,bottom
D77,21.0,-5.8,270.0,bottom
D78,23.0,-5.8,270.0,bottom
D79,25.0,-5.8,270.0,bottom
D8,-37.0,-5.8,270.0,bottom
D80,22.0,-2.3,270.0,bottom
D81,27.0,-5.75,270.0,bottom
D82,24.0,-2.3,270.0,bottom
D83,26.0,-2.3,270.0,bottom
D84,-46.0,61.0,0.0,bottom
D85,-36.25,30.5,270.0,bottom
D86,46.3,57.0775,270.0,bottom
D87,46.4775,32.24,180.0,bottom
D9,-40.0,-2.3,270.0,bottom
H1,-50.35,57.85,0.0,top
H2,50.35,57.85,90.0,top
H3,-44.35,-60.85,0.0,top
H4,44.35,-60.85,0.0,top
J1,-38.75,60.32,180.0,bottom
J10,51.1,4.0,270.0,bottom
J11,-46.75,-13.325,0.0,bottom
J12,-47.0,-17.0,90.0,top
J13,-47.0,-21.17,90.0,top
J14,-47.0,-29.51,90.0,top
J15,-47.0,-25.34,90.0,top
J16,-48.514,-32.5,270.0,bottom
J2,54.5,16.0,270.0,bottom
J4,-47.77,12.62,90.0,bottom
J5,-51.375,48.2,90.0,bottom
J6,34.95,23.75,0.0,bottom
J7,3.81,6.2,180.0,bottom
J8,-47.75,31.55,90.0,bottom
J9,39.1668,-7.4168,0.0,bottom
L1,-9.75,15.0,90.0,bottom
L2,-32.925,28.775,270.0,bottom
L3,44.85,53.11,180.0,bottom
L4,-21.25,48.75,180.0,bottom
L5,46.45,28.88,180.0,bottom
N4,0.0,0.0,0.0,top
N5,0.0,-14.0,0.0,bottom
Q1,-35.4,21.7375,90.0,bottom
Q2,-38.8,21.7625,270.0,bottom
Q3,32.9,-1.6625,270.0,bottom
Q4,-22.862499,30.8,180.0,bottom
Q5,47.2,13.3275,270.0,bottom
Q6,25.46,13.8425,90.0,bottom
R1,-40.49,55.12,180.0,bottom
R10,12.5496,46.95,180.0,bottom
R11,12.5696,48.6,180.0,bottom
R12,-0.2,12.2,270.0,bottom
R13,-7.62,33.4,0.0,bottom
R14,-36.7,19.8,90.0,bottom
R15,-40.386,18.1864,0.0,bottom
R16,-40.41,19.3,0.0,bottom
R17,-40.6908,23.2664,0.0,bottom
R18,-38.78,27.54,180.0,bottom
R19,-38.78,26.44,180.0,bottom
R2,-42.4434,55.118,0.0,bottom
R20,-38.15,35.48,0.0,bottom
R21,-38.15,34.48,0.0,bottom
R22,-38.78,28.64,180.0,bottom
R23,-38.82,32.04,270.0,bottom
R24,-7.859999,19.975,0.0,bottom
R25,9.901104,27.25,180.0,bottom
R26,9.375,21.575,180.0,bottom
R27,-12.0,15.75,0.0,bottom
R28,-13.75,18.25,90.0,bottom
R29,-20.45,9.980001,270.0,bottom
R3,-43.3324,19.6088,180.0,bottom
R30,-20.44,7.620001,90.0,bottom
R31,-31.525,1.925,90.0,bottom
R32,-32.475,1.925,90.0,bottom
R33,-29.35,16.35,270.0,bottom
R34,-38.69,24.22,0.0,bottom
R35,35.68,-1.21,0.0,bottom
R36,35.25,-2.65,270.0,bottom
R37,-37.99,0.2,0.0,bottom
R38,-34.0,0.2,0.0,bottom
R39,-25.99,0.2,0.0,bottom
R4,-11.75,27.37,270.0,bottom
R40,-22.0,0.2,0.0,bottom
R41,-40.0,0.2,0.0,bottom
R42,-36.0,0.2,0.0,bottom
R43,-27.99,0.2,0.0,bottom
R44,-24.0,0.2,0.0,bottom
R45,-28.5496,38.1,90.0,bottom
R46,-18.515001,31.755,0.0,bottom
R47,-18.515001,30.735,180.0,bottom
R48,-24.325,33.659999,90.0,bottom
R49,-41.0,41.1,0.0,bottom
R5,-6.07,11.78,90.0,bottom
R50,-25.375,38.7,180.0,bottom
R51,-25.384999,37.625,0.0,bottom
R52,45.140001,46.775,0.0,bottom
R53,47.98,48.551249,90.0,bottom
R54,-25.174999,43.297499,270.0,bottom
R55,-25.16,41.06,270.0,bottom
R56,44.984999,21.56,90.0,bottom
R57,49.674999,23.84,90.0,bottom
R58,12.57,52.2,180.0,bottom
R59,15.0876,43.2816,180.0,bottom
R6,0.8,34.14,90.0,bottom
R60,13.1,37.25,180.0,bottom
R61,13.09,43.28,0.0,bottom
R62,13.1,42.02,180.0,bottom
R63,-9.72,38.25,0.0,bottom
R64,-9.6774,47.6504,0.0,bottom
R65,-9.74,39.47,180.0,bottom
R66,-9.74,40.74,180.0,bottom
R67,-9.74,42.0,180.0,bottom
R68,-9.74,43.26,180.0,bottom
R69,37.1856,41.1226,0.0,bottom
R7,46.9392,37.2364,90.0,bottom
R70,-9.74,44.55,180.0,bottom
R71,-9.74,45.5168,180.0,bottom
R72,13.1,38.2,0.0,bottom
R73,13.1,39.45,0.0,bottom
R74,35.2,13.264294,270.0,bottom
R75,41.88,3.27,270.0,bottom
R76,41.89,1.34,90.0,bottom
R77,49.58,14.525,90.0,bottom
R78,49.57,12.6,270.0,bottom
R79,28.09,10.750001,90.0,bottom
R8,-0.2,34.12,90.0,bottom
R80,34.224293,13.264294,90.0,bottom
R81,33.25,13.264294,270.0,bottom
R82,50.62,12.6,90.0,bottom
R83,28.35,13.9,180.0,bottom
R84,36.2,56.95,270.0,bottom
R85,37.55,56.95,90.0,bottom
R86,-14.0208,45.8216,180.0,bottom
R9,-1.75,12.2,90.0,bottom
SW1,52.65,27.1,270.0,bottom
SW2,52.65,37.1,270.0,bottom
SW3,52.65,47.1,270.0,bottom
U1,-43.5,14.0,270.0,bottom
U10,-10.986351,18.019347,180.0,bottom
U11,-27.4,17.55,180.0,bottom
U12,-30.0,9.2,270.0,bottom
U13,0.0,-30.8,0.0,top
U14,-37.8968,39.4208,90.0,bottom
U15,-27.92,32.7825,270.0,bottom
U16,44.74,48.98,180.0,bottom
U17,-22.125,42.975,90.0,bottom
U18,46.649999,24.7,180.0,bottom
U19,-21.2575,15.940000000000001,270.0,bottom
U2,-43.5,8.0,270.0,bottom
U20,1.25,46.45,0.0,bottom
U21,-19.558,61.1124,180.0,bottom
U22,36.5252,43.0784,270.0,bottom
U23,26.035,44.564,180.0,bottom
U24,38.63,7.86,270.0,bottom
U25,31.47,7.88,180.0,bottom
U26,-42.4282,43.3728,180.0,bottom
U27,-54.5,47.0,180.0,top
U28,-54.5,13.25,180.0,top
U29,-54.5,6.25,180.0,top
U3,49.8466,17.2933,270.0,bottom
U30,54.5,47.0,180.0,top
U31,54.5,13.25,180.0,top
U32,54.3306,6.25,180.0,top
U33,-13.2588,39.2176,0.0,bottom
U4,-37.4998,54.9184,90.0,bottom
U5,-22.8925,56.1425,270.0,bottom
U6,-44.137999,45.9105,270.0,bottom
U7,0.0,25.0,270.0,bottom
U8,11.3516,13.8016,270.0,bottom
U9,11.14,32.19,90.0,bottom
Y1,-23.6725,60.8925,180.0,bottom
Y2,-8.725,28.107,270.0,bottom
Y3,-23.39,11.78,270.0,bottom
