Ref,Val,Package,PosX,PosY,Rot,Side
"","","",270.400000,24.450000,0.000000,top
"","","",270.500000,75.400000,0.000000,top
"","","",0.400000,24.450000,0.000000,top
"","","",0.500000,75.400000,0.000000,top
"K2","NOVA_programmer_header","HEADER_MALE_6X1",120.600000,2.650000,0.000000,top
