   531.92	    72.34	1
   531.92	   206.09	2
   531.92	   340.08	3
   531.92	   474.06	4
   531.92	   608.04	5
   531.92	   742.03	6
   520.07	   468.01	VCC3V3
   518.68	   572.46	VCC
   518.68	   599.67	GND
   518.68	   758.78	1
   516.59	   765.52	NC
   514.96	   364.97	SD
   514.96	   378.90	_C
   514.96	   392.37	ard
   514.96	   740.87	GDR
   514.96	   758.78	2
   513.34	    31.64	U
   513.34	    39.53	SB
   513.34	   686.43	R1
   513.34	   765.52	GDR
   511.94	   552.22	BS
   511.94	   565.71	3-line SPI4-line SPI
   511.71	   237.50	R
   511.71	   245.16	TC
   511.71	   740.87	RESE
   511.71	   758.78	3
   510.32	   686.43	2.2
   510.32	   765.52	RESE
   508.23	   758.78	4
   506.60	   765.52	NC
   505.21	   459.87	C19
   505.21	   476.85	C134
   505.21	   494.07	C16
   505.21	   509.18	C17
   505.21	   522.91	C18
   505.21	   684.81	RESE
   505.21	   720.63	C14.7uF/25V
   505.21	   758.78	5
   503.58	   120.26	D7
   503.12	   765.52	VSH2
   501.49	    50.24	A12/B1
   501.49	    73.50	VBUS
   501.49	   256.10	RTC_SDA
   501.49	   276.57	ESP_I2C_SDA
   501.49	   459.87	10uF
   501.49	   476.85	100nF
   501.49	   494.07	10uF
   501.49	   509.18	1UF
   501.49	   522.91	100nF
   501.49	   553.85	BS
   501.49	   594.55	EPD_VCC
   501.49	   758.78	6
   500.10	   684.11	2
   499.63	    41.17	GND
   499.63	   206.56	C11
   499.63	   765.52	TSCL
   498.01	    50.94	A9/B4
   498.01	   256.10	RTC_SCL
   498.01	   276.57	ESP_I2C_SCL
   498.01	   569.20	R10
   498.01	   582.69	NC
   498.01	   758.78	7
   496.38	    39.78	VBUS
   496.38	    80.48	R3
   496.38	   136.08	GND
   496.38	   657.36	R2
   496.38	   765.52	TSDA
   494.52	    51.41	B5
   494.52	   594.55	GND
   494.52	   667.83	GDR1
   494.52	   688.53	Q1
   494.52	   740.87	BS
   494.52	   758.78	8
   492.90	    42.34	CC2
   492.90	   765.52	BS
   491.50	   217.96	2
   491.50	   688.53	BSS138
   491.27	    56.29	A8
   491.27	   217.03	32.768KHz (2.0*1.2)
   491.27	   569.20	R12
   491.27	   582.69	0R
   491.27	   740.87	EPD_BUSY9
   489.41	    40.47	SBU1
   489.41	    80.48	5.1K
   489.41	   206.56	22pF
   489.41	   657.36	1M
   489.41	   765.52	BUSY
   488.95	   112.58	LTVS16H5.0ET5G
   487.79	    51.41	B6
   487.79	   740.87	EPD_RST10
   486.16	    42.34	DP2
   486.16	   221.45	Y1U1
   486.16	   280.99	VRTC
   486.16	   470.57	GND
   486.16	   684.11	3
   486.16	   765.52	RST
   484.54	    56.29	A7
   484.54	    82.58	ESP_USB_N
   484.54	   654.10	EPD_VCC
   484.54	   740.87	EPD_DC11
   482.68	    41.87	DN1
   482.68	   206.56	C2
   482.68	   226.33	1
   482.68	   264.01	10
